family,accepted_genus_count,accepted_species_taxon_rows
Salticidae,695,6960
Linyphiidae,641,4967
Araneidae,197,3159
Theridiidae,138,2623
Lycosidae,142,2542
Gnaphosidae,154,2500
Thomisidae,172,2198
Pholcidae,98,2066
Oonopidae,115,1984
Sparassidae,99,1569
Agelenidae,100,1482
Zodariidae,90,1326
Theraphosidae,189,1194
Tetragnathidae,45,997
Corinnidae,77,897
Clubionidae,18,683
Dysderidae,24,671
Anyphaenidae,59,663
Ctenidae,48,613
Philodromidae,31,531
Idiopidae,23,455
Oxyopidae,10,448
Phrurolithidae,27,427
Leptonetidae,22,400
Cheiracanthiidae,15,385
Liocranidae,35,358
Dictynidae,45,343
Desidae,63,324
Trachelidae,30,322
Cybaeidae,24,308
Barychelidae,39,294
Nesticidae,16,291
Uloboridae,20,284
Selenopidae,9,282
Scytodidae,4,263
Hahniidae,29,244
Pisauridae,45,235
Anapidae,59,233
Anamidae,10,232
Psilodercidae,10,231
Amaurobiidae,27,210
Liphistiidae,8,199
Nemesiidae,10,199
Prodidomidae,24,197
Filistatidae,18,193
Lamponidae,23,192
Miturgidae,33,191
Orsolobidae,30,190
Hersiliidae,16,189
Mysmenidae,17,188
Ochyroceratidae,9,187
Zoropsidae,28,186
Palpimanidae,20,185
Cicurinidae,4,183
Theridiosomatidae,24,182
Segestriidae,5,181
Sicariidae,3,177
Mimetidae,8,167
Caponiidae,21,157
Dipluridae,8,155
Tetrablemmidae,27,154
Halonoproctidae,6,150
Trachycosmidae,20,148
Pycnothelidae,15,146
Trechaleidae,18,136
Oecobiidae,7,134
Dolomedidae,7,129
Actinopodidae,3,128
Eresidae,9,126
Stiphidiidae,20,125
Telemidae,16,113
Symphytognathidae,10,112
Cyrtaucheniidae,6,109
Migidae,11,108
Macrobunidae,27,95
Archaeidae,5,93
Euagridae,14,87
Pimoidae,2,87
Toxopidae,14,82
Cycloctenidae,9,81
Euctenizidae,8,79
Argyronetidae,12,74
Physoglenidae,13,72
Deinopidae,3,71
Phyxelididae,14,68
Titanoecidae,5,67
Psechridae,2,66
Atypidae,3,62
Cyatholipidae,23,58
Lathyidae,10,58
Udubidae,6,58
Malkaridae,13,57
Stasimopidae,1,56
Macrothelidae,7,55
Bemmeridae,4,52
Trochanteriidae,6,51
Paratropididae,6,48
Hexathelidae,7,45
Microstigmatidae,12,44
Entypesidae,7,41
Gallieniellidae,5,41
Synotaxidae,5,40
Atracidae,3,39
Arkyidae,2,38
Pacullidae,4,38
Antrodiaetidae,4,37
Hypochilidae,2,33
Xenoctenidae,4,33
Plectreuridae,2,32
Senoculidae,1,31
Ischnothelidae,6,28
Nicodamidae,7,27
Mecysmaucheniidae,7,25
Gradungulidae,8,20
Drymusidae,2,19
Diguetidae,2,16
Rhytidicolidae,2,16
Viridasiidae,3,14
Stenochilidae,2,13
Synaphridae,3,13
Ancylometidae,1,10
Cithaeronidae,2,10
Austrochilidae,2,9
Penestomidae,1,9
Archoleptonetidae,2,8
Hexurellidae,1,8
Ctenizidae,2,6
Porrhothelidae,1,6
Melloinidae,1,5
Periegopidae,1,3
Homalonychidae,1,2
Mecicobothriidae,1,2
Megadictynidae,2,2
Microhexuridae,1,2
Myrmecicultoridae,1,2
Huttoniidae,1,1
Megahexuridae,1,1
Trogloraptoridae,1,1
